pm2_5,city,co,pm10,level,o3,spider,so2,crawl_time,date,aqi,no2
104,,1.6,0,轻度污染,151,aqi_redisspider,0,2018-11-28 17:27:21.588000,2014-07-05,137,31
186,,1.6,245,重度污染,190,aqi_redisspider,26,2018-11-28 17:27:21.592000,2014-07-06,236,40
135,,1.3,191,中度污染,194,aqi_redisspider,28,2018-11-28 17:27:21.594000,2014-07-07,179,37
92,,1.2,148,轻度污染,176,aqi_redisspider,33,2018-11-28 17:27:21.596000,2014-07-08,122,36
63,,1.9,112,良,97,aqi_redisspider,50,2018-11-28 17:27:21.598000,2014-03-11,85,40
85,,2.5,248,轻度污染,47,aqi_redisspider,78,2018-11-28 17:27:21.598000,2014-03-12,149,50
65,,2.6,102,良,65,aqi_redisspider,77,2018-11-28 17:27:21.599000,2014-03-13,88,49
49,,2.5,150,良,70,aqi_redisspider,80,2018-11-28 17:27:21.601000,2014-03-14,100,49
79,,2.4,225,轻度污染,64,aqi_redisspider,108,2018-11-28 17:27:21.603000,2014-03-15,138,72
106,,2.7,242,轻度污染,93,aqi_redisspider,98,2018-11-28 17:27:21.604000,2014-03-16,146,73
176,,2.8,410,重度污染,117,aqi_redisspider,116,2018-11-28 17:27:21.621000,2014-03-17,286,78
90,,1,193,轻度污染,136,aqi_redisspider,22,2018-11-28 17:27:21.622000,2015-10-02,122,41
77,,0.9,157,轻度污染,137,aqi_redisspider,23,2018-11-28 17:27:21.628000,2015-10-03,104,35
72,,0.9,104,良,126,aqi_redisspider,22,2018-11-28 17:27:21.631000,2015-10-05,97,28
88,,0.9,117,轻度污染,120,aqi_redisspider,35,2018-11-28 17:27:21.634000,2015-11-03,117,35
134,,1.2,167,中度污染,91,aqi_redisspider,36,2018-11-28 17:27:21.636000,2015-11-04,178,53
123,,1.2,158,中度污染,88,aqi_redisspider,37,2018-11-28 17:27:21.641000,2015-11-05,162,38
65,,1.1,91,良,51,aqi_redisspider,26,2018-11-28 17:27:21.643000,2015-11-06,88,33
80,,0.9,130,轻度污染,106,aqi_redisspider,28,2018-11-28 17:27:21.628000,2015-10-04,107,34
238,,1.9,278,重度污染,46,aqi_redisspider,48,2018-11-28 17:27:21.644000,2015-12-05,288,53
165,,1.4,199,重度污染,73,aqi_redisspider,36,2018-11-28 17:27:21.646000,2015-12-06,215,52
134,,1.4,158,中度污染,74,aqi_redisspider,42,2018-11-28 17:27:21.648000,2015-12-07,178,54
74,,1.1,92,良,69,aqi_redisspider,41,2018-11-28 17:27:21.649000,2015-12-08,99,45
70,,1.3,89,良,34,aqi_redisspider,36,2018-11-28 17:27:21.651000,2015-12-09,94,49
107,,1.5,133,轻度污染,25,aqi_redisspider,39,2018-11-28 17:27:21.652000,2015-12-10,140,37
97,,1.5,114,轻度污染,60,aqi_redisspider,28,2018-11-28 17:27:21.653000,2015-12-11,128,37
34,,0.5,49,优,46,aqi_redisspider,18,2018-11-28 17:27:21.655000,2016-01-05,49,20
42,,0.6,66,良,40,aqi_redisspider,21,2018-11-28 17:27:21.656000,2016-01-06,59,21
80,,1,91,轻度污染,46,aqi_redisspider,24,2018-11-28 17:27:21.658000,2016-01-07,107,20
132,,1.3,181,中度污染,44,aqi_redisspider,24,2018-11-28 17:27:21.659000,2016-01-08,175,32
180,,1.7,233,重度污染,29,aqi_redisspider,25,2018-11-28 17:27:21.678000,2016-01-09,230,34
